Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
296,tt0092752,2013-04-23,2013-04-23,,The Chipmunk Adventure,https://www.imdb.com/title/tt0092752/,movie,7.2,77,1987,"Animation, Adventure, Comedy, Family, Fantasy, Musical",4766,1987-05-09,Janice Karman
297,tt0259974,2013-04-23,2013-04-23,,Digimon: The Movie,https://www.imdb.com/title/tt0259974/,movie,6.0,82,2000,"Animation, Action, Adventure, Family, Sci-Fi",6231,2000-10-06,"Shigeyasu Yamauchi, Mamoru Hosoda"
298,tt0168856,2013-04-23,2013-04-23,,Hjælp! Jeg er en fisk,https://www.imdb.com/title/tt0168856/,movie,5.9,80,2000,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical, Sci-Fi",5299,2000-10-06,"Michael Donovan, Stefan Fjeldmark, Greg Manwaring, Michael Hegner"
299,tt0231237,2013-04-23,2013-04-23,,Batman Beyond: The Movie,https://www.imdb.com/title/tt0231237/,tvMovie,7.8,132,1999,"Animation, Sci-Fi, Action, Thriller",4791,1999-01-10,"Curt Geda, Butch Lukic, Yukio Suzuki, Dan Riba"
300,tt0169590,2013-04-23,2013-04-23,,The Batman Superman Movie: World's Finest,https://www.imdb.com/title/tt0169590/,tvMovie,7.8,64,1997,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",7756,1997-10-04,Toshihiko Masuda
301,tt0088678,2013-04-23,2013-04-23,,The Adventures of Mark Twain,https://www.imdb.com/title/tt0088678/,movie,7.5,86,1985,"Animation, Adventure, Family, Fantasy, Sci-Fi",2289,1985-03-01,Will Vinton
302,tt0091584,2013-04-23,2013-04-23,,My Little Pony: The Movie,https://www.imdb.com/title/tt0091584/,movie,6.0,86,1986,"Animation, Family, Fantasy, Musical",2310,1986-06-06,Mike Joens
303,tt0099878,2013-04-23,2013-04-23,,Jetsons: The Movie,https://www.imdb.com/title/tt0099878/,movie,5.6,82,1990,"Animation, Comedy, Family, Musical, Sci-Fi",4279,1990-07-06,"Joseph Barbera, William Hanna"
304,tt0389074,2013-04-23,2013-04-23,,Kim Possible: A Sitch in Time,https://www.imdb.com/title/tt0389074/,tvMovie,7.1,66,2003,"Animation, Adventure, Comedy, Family, Sci-Fi",3591,2003-11-28,Steve Loter
305,tt0094939,2013-04-23,2013-04-23,,Daffy Duck's Quackbusters,https://www.imdb.com/title/tt0094939/,movie,7.2,72,1988,"Animation, Comedy, Family, Horror",1945,1988-09-24,"Robert McKimson, Greg Ford, Friz Freleng, Terry Lennon, Maurice Noble, Chuck Jones"
306,tt0084509,2013-04-23,2013-04-23,,The Plague Dogs,https://www.imdb.com/title/tt0084509/,movie,7.9,103,1982,"Animation, Adventure, Drama",5940,1982-10-21,Martin Rosen
307,tt0160429,2013-04-23,2013-04-23,,The King and I,https://www.imdb.com/title/tt0160429/,movie,4.2,87,1999,"Animation, Family, Fantasy, Musical",3459,1999-03-19,Richard Rich
308,tt0955411,2013-04-23,2013-04-23,,The Ten Commandments,https://www.imdb.com/title/tt0955411/,movie,2.9,88,2007,"Animation, Family",2204,2007-10-19,"Bill Boyce, John Stronach"
309,tt0297753,2013-04-23,2013-04-23,,Kaena: La prophétie,https://www.imdb.com/title/tt0297753/,movie,6.1,85,2003,"Animation, Adventure, Family, Fantasy, Sci-Fi",3684,2003-06-04,"Chris Delaporte, Pascal Pinon"
310,tt0067595,2013-04-23,2013-04-23,,The Point,https://www.imdb.com/title/tt0067595/,tvMovie,7.9,90,1971,"Animation, Adventure, Family, Fantasy",1846,1971-02-02,Fred Wolf
311,tt0107875,2013-04-23,2013-04-23,,The Princess and the Goblin,https://www.imdb.com/title/tt0107875/,movie,6.9,82,1991,"Animation, Adventure, Comedy, Family, Fantasy, Musical",2186,1991-12-20,József Gémes
312,tt0314166,2013-04-23,2013-04-23,,Hey Arnold! The Movie,https://www.imdb.com/title/tt0314166/,movie,6.0,76,2002,"Animation, Adventure, Comedy, Family",5825,2002-05-31,Tuck Tucker
313,tt0142233,2013-04-23,2013-04-23,,Doragon bôru Z: Chikyû marugoto chô kessen,https://www.imdb.com/title/tt0142233/,movie,7.0,60,1990,"Animation, Action, Adventure, Sci-Fi",6054,1990-07-07,Daisuke Nishio
314,tt0099524,2013-04-23,2013-04-23,,Evil Toons,https://www.imdb.com/title/tt0099524/,movie,3.9,90,1992,"Animation, Comedy, Horror, Fantasy",2071,1992-01-08,Fred Olen Ray
315,tt0189071,2013-04-23,2013-04-23,,Scooby-Doo and the Ghoul School,https://www.imdb.com/title/tt0189071/,tvMovie,7.0,92,1988,"Animation, Comedy, Family, Fantasy, Horror",3560,1988-10-16,"Charles A. Nichols, Ray Patterson"
316,tt0078915,2013-04-23,2013-04-23,,The Bugs Bunny/Road-Runner Movie,https://www.imdb.com/title/tt0078915/,movie,7.3,98,1979,"Animation, Comedy, Family, Music, Sci-Fi",3275,1979-09-14,"Chuck Jones, Phil Monroe"
317,tt0102813,2013-04-23,2013-04-23,,Rover Dangerfield,https://www.imdb.com/title/tt0102813/,movie,6.0,74,1991,"Animation, Comedy, Family",2684,1991-07-01,"Bob Seeley, James L. George"
318,tt0142235,2013-04-23,2013-04-23,,Doragon bôru Z,https://www.imdb.com/title/tt0142235/,short,7.0,41,1989,"Animation, Short, Action, Adventure, Fantasy, Sci-Fi",5431,1989-07-15,Daisuke Nishio
